City/Town,,,Patrick/ Murray,Baker/ Tisei,Cahill/ Loscocco,Stein/ Purcell,All Others,Blank Votes,Total Votes Cast
Abington,,,"2,121","3,203",887,67,8,49,"6,335"
Acton,,,"5,326","3,478",333,113,6,42,"9,298"
Acushnet,,,"2,067","1,489",402,33,1,80,"4,072"
Adams,,,"1,629",548,132,22,1,20,"2,352"
Agawam,,,"4,019","4,975","1,502",201,5,134,"10,836"
Alford,,,179,38,5,3,0,1,226
Amesbury,,,"2,633","2,949",488,120,3,41,"6,234"
Amherst,,,"6,284",879,240,493,5,58,"7,959"
Andover,,,"5,893","7,540",622,122,7,79,"14,263"
Aquinnah,,,143,50,15,9,0,3,220
Arlington,,,"13,205","5,684","1,016",357,20,149,"20,431"
Ashburnham,,,915,"1,298",233,55,2,20,"2,523"
Ashby,,,498,748,138,29,0,11,"1,424"
Ashfield,,,615,156,46,55,0,8,880
Ashland,,,"2,946","3,080",422,57,5,44,"6,554"
Athol,,,"1,353","1,585",393,68,4,27,"3,430"
Attleboro,,,"4,946","6,780","1,266",167,12,97,"13,268"
Auburn,,,"2,749","3,238",591,90,4,57,"6,729"
Avon,,,676,877,248,31,0,20,"1,852"
Ayer,,,"1,031","1,255",226,44,2,19,"2,577"
Barnstable,,,"7,983","10,382","1,459",282,1,132,"20,239"
Barre,,,771,983,225,47,1,21,"2,048"
Becket,,,376,177,41,7,3,6,610
Bedford,,,"2,909","2,597",307,66,5,31,"5,915"
Belchertown,,,"2,559","2,143",541,147,0,29,"5,419"
Bellingham,,,"2,191","3,355",755,87,8,53,"6,449"
Belmont,,,"6,546","3,960",439,162,5,72,"11,184"
Berkley,,,802,"1,321",246,38,2,48,"2,457"
Berlin,,,564,726,98,24,0,14,"1,426"
Bernardston,,,485,245,117,24,0,7,878
Beverly,,,"7,100","7,132","1,202",202,16,117,"15,769"
Billerica,,,"4,977","8,128","1,642",188,15,124,"15,074"
Blackstone,,,"1,121","1,665",426,49,5,35,"3,301"
Blandford,,,175,262,70,10,0,7,524
Bolton,,,968,"1,221",126,30,1,19,"2,365"
Boston,,,"114,519","37,493","8,687","2,053",151,"1,409","164,312"
Bourne,,,"3,025","4,242",717,94,5,55,"8,138"
Boxborough,,,"1,113","1,032",107,41,0,14,"2,307"
Boxford,,,"1,348","2,642",188,40,0,35,"4,253"
Boylston,,,875,"1,129",138,23,1,15,"2,181"
Braintree,,,"5,519","6,886","2,615",165,24,133,"15,342"
Brewster,,,"2,531","2,325",329,78,0,93,"5,356"
Bridgewater,,,"3,196","4,925",859,115,5,68,"9,168"
Brimfield,,,460,901,177,53,0,13,"1,604"
Brockton,,,"12,380","7,656","2,040",241,9,187,"22,513"
Brookfield,,,444,686,150,21,0,4,"1,305"
Brookline,,,"14,909","4,765",504,267,1,110,"20,556"
Buckland,,,505,174,68,43,0,13,803
Burlington,,,"3,777","4,815",716,98,9,60,"9,475"
Cambridge,,,"26,918","4,284","1,003",653,"1,076",306,"34,240"
Canton,,,"3,902","4,706",785,73,4,79,"9,549"
Carlisle,,,"1,428","1,139",73,39,0,17,"2,696"
Carver,,,"1,487","2,441",504,58,3,103,"4,596"
Charlemont,,,283,116,59,12,0,6,476
Charlton,,,"1,445","2,837",402,76,3,22,"4,785"
Chatham,,,"1,663","1,966",207,38,2,21,"3,897"
Chelmsford,,,"5,717","8,040","1,151",177,10,114,"15,209"
Chelsea,,,"3,223","1,301",332,65,0,218,"5,139"
Cheshire,,,711,311,77,17,0,16,"1,132"
Chester,,,168,226,85,18,0,2,499
Chesterfield,,,246,201,52,33,0,3,535
Chicopee,,,"6,853","6,273","2,643",364,17,211,"16,361"
Chilmark,,,361,168,30,15,0,6,580
Clarksburg,,,340,146,45,6,0,12,549
Clinton,,,"2,058","2,162",419,62,10,60,"4,771"
Cohasset,,,"1,480","2,060",222,35,0,26,"3,823"
Colrain,,,377,158,68,33,0,10,646
Concord,,,"5,280","3,110",222,109,1,43,"8,765"
Conway,,,649,220,59,50,0,8,986
Cummington,,,255,82,43,32,0,8,420
Dalton,,,"1,554",614,126,25,1,23,"2,343"
Danvers,,,"4,027","5,599",936,104,3,68,"10,737"
Dartmouth,,,"6,563","4,340",872,123,8,213,"12,119"
Dedham,,,"4,513","4,674","1,032",113,13,71,"10,416"
Deerfield,,,"1,385",529,212,82,0,13,"2,221"
Dennis,,,"3,347","3,647",566,94,0,58,"7,712"
Dighton,,,966,"1,427",304,29,3,41,"2,770"
Douglas,,,913,"2,003",320,47,0,22,"3,305"
Dover,,,"1,014","1,780",76,21,1,14,"2,906"
Dracut,,,"3,428","6,306","1,186",138,0,118,"11,176"
Dudley,,,"1,263","2,052",349,54,1,26,"3,745"
Dunstable,,,512,792,100,13,1,14,"1,432"
Duxbury,,,"2,790","4,338",441,53,4,42,"7,668"
E. Bridgewater,,,"1,637","2,986",661,74,1,33,"5,392"
E. Brookfield,,,268,534,90,14,1,8,915
E. Longmeadow,,,"2,332","3,190",616,78,4,42,"6,262"
Eastham,,,"1,615","1,270",184,40,1,16,"3,126"
Easthampton,,,"3,422","1,894",666,264,4,38,"6,288"
Easton,,,"3,332","4,882",709,74,9,70,"9,076"
Edgartown,,,966,807,145,31,0,17,"1,966"
Egremont,,,456,123,11,13,0,4,607
Erving,,,289,131,67,13,0,8,508
Essex,,,721,899,109,20,0,11,"1,760"
Everett,,,"4,579","3,257",997,102,14,155,"9,104"
Fairhaven,,,"3,492","2,189",521,75,5,86,"6,368"
Fall River,,,"12,028","5,762","1,731",281,8,848,"20,658"
Falmouth,,,"7,739","6,812","1,042",234,7,120,"15,954"
Fitchburg,,,"4,378","4,532",962,143,10,82,"10,107"
Florida,,,122,95,22,5,0,9,253
Foxborough,,,"2,562","3,998",614,67,2,35,"7,278"
Framingham,,,"10,579","7,911","1,268",252,15,124,"20,149"
Franklin,,,"4,617","6,884","1,099",144,12,73,"12,829"
Freetown,,,"1,450","1,716",292,39,4,67,"3,568"
Gardner,,,"2,661","2,743",655,120,5,38,"6,222"
Georgetown,,,"1,274","2,068",287,38,3,20,"3,690"
Gill,,,386,149,57,38,1,8,639
Gloucester,,,"5,588","4,749",844,137,15,133,"11,466"
Goshen,,,223,163,52,25,0,5,468
Gosnold,,,28,34,6,0,0,0,68
Grafton,,,"2,522","3,576",467,91,3,30,"6,689"
Granby,,,"1,213","1,321",407,77,2,34,"3,054"
Granville,,,219,377,73,20,0,6,695
Great Barrington,,,"1,951",406,85,74,1,27,"2,544"
Greenfield,,,"3,851","1,304",463,341,3,70,"6,032"
Groton,,,"2,051","2,402",279,66,2,76,"4,876"
Groveland,,,"1,025","1,719",239,38,0,26,"3,047"
Hadley,,,"1,346",627,176,92,0,23,"2,264"
Halifax,,,985,"1,731",374,49,5,21,"3,165"
Hamilton,,,"1,401","1,949",177,39,3,34,"3,603"
Hampden,,,751,"1,167",278,44,0,23,"2,263"
Hancock,,,176,88,18,0,0,3,285
Hanover,,,"2,060","3,685",769,40,2,54,"6,610"
Hanson,,,"1,404","2,360",532,46,1,46,"4,389"
Hardwick,,,410,454,107,33,0,10,"1,014"
Harvard,,,"1,521","1,144",122,44,0,47,"2,878"
Harwich,,,"2,936","2,992",480,96,5,45,"6,554"
Hatfield,,,828,476,167,51,1,11,"1,534"
Haverhill,,,"7,829","9,635","1,854",290,0,172,"19,780"
Hawley,,,62,46,16,11,0,0,135
Heath,,,188,87,35,10,0,1,321
Hingham,,,"4,658","5,741",786,75,0,60,"11,320"
