City/Town,,,"Baker/ Polito","Coakley/ Kerrigan","Falchuk/ Jennings","Lively/ Saunders","Mccormick/ Post","All Others","Blank Votes","Total Votes Cast"
Abington,,,"3,459","2,105",203,50,45,4,47,"5,913"
Acton,,,"3,776","4,534",242,39,59,15,71,"8,736"
Acushnet,,,"1,500","1,383",71,90,46,2,53,"3,145"
Adams,,,600,"1,507",48,27,33,0,23,"2,238"
Agawam,,,"5,778","3,148",837,206,123,10,202,"10,304"
Alford,,,55,148,1,1,1,0,3,209
Amesbury,,,"3,015","2,530",226,42,52,9,71,"5,945"
Amherst,,,"1,269","6,092",302,63,42,19,147,"7,934"
Andover,,,"7,862","4,869",270,61,57,2,90,"13,211"
Aquinnah,,,40,147,6,3,3,0,1,200
Arlington,,,"6,243","12,435",622,104,103,13,221,"19,741"
Ashburnham,,,"1,205",831,87,31,21,1,18,"2,194"
Ashby,,,754,443,68,19,10,0,10,"1,304"
Ashfield,,,200,587,47,2,6,1,24,867
Ashland,,,"2,954","2,523",152,30,21,3,53,"5,736"
Athol,,,"1,884","1,166",161,70,29,0,63,"3,373"
Attleboro,,,"6,652","4,953",289,153,123,4,121,"12,295"
Auburn,,,"3,743","2,250",174,56,55,3,63,"6,344"
Avon,,,909,712,39,11,19,0,10,"1,700"
Ayer,,,"1,333",970,106,32,23,1,25,"2,490"
Barnstable,,,"10,670","7,222",478,125,146,8,123,"18,772"
Barre,,,"1,155",658,76,17,16,5,30,"1,957"
Becket,,,191,354,17,15,9,0,7,593
Bedford,,,"2,764","2,633",150,35,35,0,47,"5,664"
Belchertown,,,"2,440","2,209",419,87,43,2,75,"5,275"
Bellingham,,,"3,268","2,038",190,42,53,3,68,"5,662"
Belmont,,,"4,303","5,623",224,37,49,11,98,"10,345"
Berkley,,,"1,264",720,67,32,21,0,29,"2,133"
Berlin,,,758,548,51,20,15,0,19,"1,411"
Bernardston,,,312,391,76,13,3,1,12,808
Beverly,,,"7,538","6,394",431,134,88,4,205,"14,794"
Billerica,,,"8,248","5,121",462,132,130,7,134,"14,234"
Blackstone,,,"1,687","1,011",108,35,36,0,36,"2,913"
Blandford,,,293,152,51,10,4,0,5,515
Bolton,,,"1,278",877,82,22,15,2,18,"2,294"
Boston,,,"47,653","104,995","4,431",681,858,222,"2,275","161,115"
Bourne,,,"4,494","2,666",193,74,68,0,53,"7,548"
Boxborough,,,"1,045",944,59,16,9,5,24,"2,102"
Boxford,,,"2,542","1,031",70,12,18,0,22,"3,695"
Boylston,,,"1,277",710,47,11,6,6,18,"2,075"
Braintree,,,"8,223","5,462",365,98,113,7,149,"14,417"
Brewster,,,"2,475","2,201",140,45,31,3,51,"4,946"
Bridgewater,,,"5,059","2,830",229,59,69,5,87,"8,338"
Brimfield,,,891,419,85,20,15,0,16,"1,446"
Brockton,,,"7,433","12,792",591,189,169,10,292,"21,476"
Brookfield,,,719,421,61,17,12,1,14,"1,245"
Brookline,,,"5,567","12,488",476,53,72,15,178,"18,849"
Buckland,,,242,438,36,14,4,0,16,750
Burlington,,,"5,205","3,659",232,64,76,5,93,"9,334"
Cambridge,,,"5,589","25,525",903,125,144,74,365,"32,725"
Canton,,,"5,026","3,337",234,49,51,4,73,"8,774"
Carlisle,,,"1,231","1,194",62,12,12,0,30,"2,541"
Carver,,,"2,466","1,351",145,47,40,1,44,"4,094"
Charlemont,,,157,226,42,13,3,0,3,444
Charlton,,,"3,030","1,263",142,41,37,2,49,"4,564"
Chatham,,,"2,063","1,424",60,18,14,3,24,"3,606"
Chelmsford,,,"8,198","5,140",488,85,120,10,137,"14,178"
Chelsea,,,"1,464","3,243",107,35,47,0,259,"5,155"
Cheshire,,,378,576,17,15,18,0,9,"1,013"
Chester,,,272,130,44,13,7,0,1,467
Chesterfield,,,229,253,48,6,6,0,7,549
Chicopee,,,"7,604","5,951","1,570",402,244,32,268,"16,071"
Chilmark,,,136,344,16,2,5,0,8,511
Clarksburg,,,174,377,6,5,2,0,6,570
Clinton,,,"2,241","1,935",133,52,48,3,61,"4,473"
Cohasset,,,"2,304","1,177",78,12,20,3,25,"3,619"
Colrain,,,227,303,40,11,8,0,12,601
Concord,,,"3,440","4,518",193,24,27,3,69,"8,274"
Conway,,,281,608,43,10,3,0,15,960
Cummington,,,120,248,36,12,4,2,3,425
Dalton,,,689,"1,213",65,49,13,0,27,"2,056"
Danvers,,,"5,975","3,668",278,85,62,8,84,"10,160"
Dartmouth,,,"4,514","4,299",207,165,81,9,127,"9,402"
Dedham,,,"5,107","4,299",270,66,53,10,90,"9,895"
Deerfield,,,779,"1,265",142,23,22,2,27,"2,260"
Dennis,,,"3,741","2,961",176,46,77,0,56,"7,057"
Dighton,,,"1,365",829,64,38,21,1,34,"2,352"
Douglas,,,"2,104",814,86,15,29,0,34,"3,082"
Dover,,,"1,836",796,46,10,11,3,16,"2,718"
Dracut,,,"6,614","3,416",310,75,80,0,135,"10,630"
Dudley,,,"2,179","1,170",110,29,26,0,29,"3,543"
Dunstable,,,850,482,35,7,7,1,12,"1,394"
Duxbury,,,"4,502","2,255",152,21,40,4,45,"7,019"
"E. Bridgewater",,,"3,101","1,601",156,35,34,2,64,"4,993"
"E. Brookfield",,,577,243,26,14,7,0,15,882
"E. Longmeadow",,,"3,777","1,893",440,114,45,4,95,"6,368"
Eastham,,,"1,288","1,392",82,18,28,2,18,"2,828"
Easthampton,,,"2,209","3,237",554,107,71,5,82,"6,265"
Easton,,,"4,992","2,890",210,70,38,6,81,"8,287"
Edgartown,,,731,894,41,14,16,20,0,"1,716"
Egremont,,,152,429,10,14,7,0,20,632
Erving,,,207,246,48,9,3,1,5,519
